wikiSchool,status,candidateIds,candidateNames,confirmedTeamId
Northern Michigan University,suggested,128,Northern Michigan,128
Northwest Missouri State University,unmatched,,,138
Northwestern University,ambiguous,77; 583,Northwestern; Northwestern (MN),77
Northwestern Oklahoma State University,suggested,2823,Northwestern Oklahoma State,2823
Northwestern State University,suggested,2466,Northwestern State,2466
Norwich University,suggested,2467,Norwich,2467
University of Notre Dame,ambiguous,87; 587,Notre Dame; Notre Dame College,87
Ohio University,suggested,195,Ohio,195
Ohio Northern University,suggested,427,Ohio Northern,427
Ohio State University,suggested,194,Ohio State,194
University of Oklahoma,suggested,201,Oklahoma,201
Oklahoma City University,unmatched,,,NEW
Oklahoma Panhandle State University,unmatched,,,2824
Oklahoma State University,suggested,197,Oklahoma State,197
Old Dominion University,suggested,295,Old Dominion,295
University of Oregon,suggested,2483,Oregon,2483
Oregon Institute of Technology,unmatched,,,NEW
Oregon State University,suggested,204,Oregon State,204
University of Ottawa,unmatched,,,
Ottawa University,unmatched,,,
Ouachita Baptist University,suggested,2888,Ouachita Baptist,2888
University of the Pacific (United States),unmatched,,,NEW
Pearl River Community College,unmatched,,,NEW
University of North Carolina at Pembroke,unmatched,,,2882
University of Pennsylvania,suggested,219,Pennsylvania,219
Pennsylvania State University,unmatched,,,213
Pennsylvania Western University California,unmatched,,,NEW
Pennsylvania Western University Clarion,unmatched,,,NEW
Pittsburg State University,unmatched,,,90
University of Pittsburgh,suggested,221,Pittsburgh,221
Plymouth State University,suggested,2972,Plymouth State,2972
Pomona College,unmatched,,,2923
Portland State University,suggested,2502,Portland State,2502
Prairie View A&M University,suggested,2504,Prairie View A&M,2504
Presbyterian College,suggested,2506,Presbyterian,2506
Princeton University,suggested,163,Princeton,163
Providence College,unmatched,,,NEW
Purdue University,suggested,2509,Purdue,2509
Queen's University,unmatched,,,NEW
University of Regina,unmatched,,,
University of Rhode Island,suggested,227,Rhode Island,227
Rice University,suggested,242,Rice,242
University of Richmond,suggested,257,Richmond,257
Robert Morris University,suggested,2523,Robert Morris,2523
Robert Morris University Illinois,unmatched,,,2523
Rocky Mountain College,unmatched,,,NEW
Roosevelt University,suggested,127991,Roosevelt,127991
Rowan University,suggested,2827,Rowan,2827
Rensselaer Polytechnic Institute,unmatched,,,NEW
Rutgers University–New Brunswick,unmatched,,,
Sacred Heart University,suggested,2529,Sacred Heart,2529
Saginaw Valley State University,suggested,129,Saginaw Valley State,129
St. Cloud State University,unmatched,,,NEW
St. Bonaventure University,unmatched,,,NEW
Saint John's University (Minnesota),suggested,2600,Saint John's (MN),2600
St. John's University (New York City),suggested,2600,Saint John's (MN),NEW
Saint Mary's College of California,unmatched,,,NEW
Saint Mary's University (Halifax),unmatched,,,
Saint Mary's University of Minnesota,unmatched,,,NEW
Salisbury University,suggested,2532,Salisbury,2532
Sam Houston State University,suggested,2534,Sam Houston,2534
Samford University,suggested,2535,Samford,2535
University of San Diego,suggested,301,San Diego,301
San Diego State University,suggested,21,San Diego State,21
University of San Francisco,unmatched,,,NEW
San Francisco State University,unmatched,,,NEW
San Jose State University,suggested,23,San José State,23
"St. Augustine's University (Raleigh, North Carolina)",suggested,395,St. Augustine's,395
Santa Clara University,suggested,1000003,Santa Clara,1000003
University of Saskatchewan,unmatched,,,
Savannah State University,unmatched,,,2542
Shepherd University,suggested,2974,Shepherd,2974
Université de Sherbrooke,unmatched,,,
Shippensburg University,suggested,2559,Shippensburg,2559
Simon Fraser University,unmatched,,,
University of Sioux Falls,suggested,2894,Sioux Falls,2894
Slippery Rock University,suggested,215,Slippery Rock,215
Sonoma State University,unmatched,,,NEW
St. Francis Xavier University,unmatched,,,
St. Lawrence University,suggested,2779,St. Lawrence,2779
